undefined Total battles: 2227534
 Avg. weight/team: 0.009
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | 1    | Landorus-Therian   | 37.44465% | 1085983 | 24.376% | 919653 | 27.187% | 
 | 2    | Magearna           | 22.38799% | 567516 | 12.739% | 441359 | 13.048% | 
 | 3    | Toxapex            | 20.10006% | 433137 |  9.722% | 332674 |  9.835% | 
 | 4    | Zygarde            | 19.76848% | 385749 |  8.659% | 284807 |  8.419% | 
 | 5    | Clefable           | 18.66981% | 297129 |  6.669% | 224041 |  6.623% | 
 | 6    | Dugtrio            | 18.48352% | 319444 |  7.170% | 228908 |  6.767% | 
 | 7    | Tapu Koko          | 15.66394% | 654634 | 14.694% | 511204 | 15.112% | 
 | 8    | Greninja-Ash       | 15.58056% | 625999 | 14.051% | 466738 | 13.798% | 
 | 9    | Chansey            | 15.44304% | 324512 |  7.284% | 246449 |  7.286% | 
 | 10   | Celesteela         | 15.21265% | 438561 |  9.844% | 349283 | 10.326% | 
 | 11   | Heatran            | 14.79517% | 512258 | 11.498% | 417446 | 12.341% | 
 | 12   | Ferrothorn         | 13.90990% | 595956 | 13.377% | 508003 | 15.018% | 
 | 13   | Pinsir-Mega        | 13.30651% | 181747 |  4.080% | 128758 |  3.806% | 
 | 14   | Skarmory           | 13.25957% | 316964 |  7.115% | 260851 |  7.711% | 
 | 15   | Scizor-Mega        | 13.25775% | 253903 |  5.699% | 201320 |  5.951% | 
 | 16   | Zapdos             | 13.25692% | 296663 |  6.659% | 234144 |  6.922% | 
 | 17   | Tapu Lele          | 13.01654% | 363081 |  8.150% | 267174 |  7.898% | 
 | 18   | Mimikyu            | 11.99270% | 355529 |  7.980% | 249859 |  7.386% | 
 | 19   | Greninja           | 11.98348% | 497735 | 11.172% | 383087 | 11.325% | 
 | 20   | Mew                | 11.42156% | 336385 |  7.551% | 264202 |  7.810% | 
 | 21   | Excadrill          | 11.07645% | 340464 |  7.642% | 261464 |  7.729% | 
 | 22   | Latios             |  9.98180% | 318068 |  7.139% | 227880 |  6.737% | 
 | 23   | Tangrowth          |  9.68868% | 324741 |  7.289% | 252652 |  7.469% | 
 | 24   | Kartana            |  8.34126% | 274366 |  6.159% | 201031 |  5.943% | 
